delivery_status;state;city
delayed;RJ;"campos dos goytacazes"
delayed;SP;"santa fe do sul"
delayed;MG;"pará de minas"
delayed;SP;atibaia
delayed;SP;"varzea paulista"
delayed;MG;uberaba
delayed;SP;guararapes
delayed;SP;"praia grande"
"delivered on time";SP;santos
delayed;SP;jandira
delayed;SP;piracicaba
"delivered on time";SP;"monte alto"
delayed;RJ;"rio de janeiro"
delayed;SP;jandira
delayed;MG;alfenas
delayed;SP;campinas
delayed;SP;"santa barbara d'oeste"
delayed;SP;jundiai
delayed;SP;cubatao
delayed;SP;"sao paulo"
"delivered on time";SP;"santa cruz do rio pardo"
delayed;RJ;"volta redonda"
delayed;PR;ivaipora
delayed;RJ;"rio de janeiro"
delayed;SP;"sao paulo"
delayed;RJ;"nova iguacu"
delayed;SP;"sao paulo"
delayed;GO;anapolis
delayed;SP;"sao bernardo do campo"
delayed;SP;osasco
delayed;RJ;"rio de janeiro"
delayed;MG;ituiutaba
delayed;GO;goiania
delayed;PR;pinhais
delayed;PR;"pato bragado"
delayed;RJ;"rio de janeiro"
delayed;BA;canavieiras
"delivered on time";AL;"campo alegre"
delayed;SP;cunha
delayed;MG;"monte siao"
delayed;BA;salvador
delayed;SP;cubatao
delayed;SP;"santa salete"
"delivered on time";SP;"sao paulo"
"delivered on time";SP;"sao paulo"
delayed;BA;itapicuru
delayed;MG;"santos dumont"
delayed;MS;"campo grande"
delayed;MG;coromandel
delayed;PR;guaratuba
delayed;RJ;"volta redonda"
delayed;SP;araraquara
delayed;SP;"sao bernardo do campo"
delayed;MG;"governador valadares"
delayed;CE;fortaleza
delayed;MG;"belo horizonte"
delayed;CE;amanari
delayed;DF;brasilia
delayed;RS;"porto alegre"
delayed;SP;"sao paulo"
delayed;SP;"sao paulo"
delayed;PR;cambé
delayed;PE;recife
delayed;RS;canoas
delayed;MG;manhuacu
delayed;SP;guarulhos
delayed;PR;umuarama
delayed;SC;"sao bento do sul"
delayed;MG;ituiutaba
delayed;SP;"sao paulo"
delayed;SP;"sao paulo"
delayed;PR;pinhais
delayed;SP;"sao paulo"
delayed;BA;camacari
delayed;RS;"porto alegre"
"delivered on time";RJ;"rio de janeiro"
delayed;MG;"belo horizonte"
delayed;MG;"belo horizonte"
"delivered on time";PR;toledo
"delivered on time";RJ;"rio de janeiro"
delayed;MG;diamantina
"delivered on time";ES;"vila velha"
delayed;RJ;"rio de janeiro"
delayed;SP;"sao paulo"
delayed;BA;"medeiros neto"
delayed;SP;"mogi guaçu"
delayed;SP;"sao paulo"
delayed;SP;campinas
delayed;SP;"sao paulo"
delayed;SP;bauru
delayed;MG;"belo horizonte"
"delivered on time";SP;"sao paulo"
delayed;RJ;"rio de janeiro"
delayed;AL;maceio
delayed;DF;brasilia
"delivered on time";MS;"campo grande"
delayed;SP;"sao paulo"
delayed;SP;barueri
"delivered on time";MA;imperatriz
delayed;SP;"sao paulo"
"delivered on time";MA;"vitoria do mearim"
"delivered on time";RJ;"rio de janeiro"
delayed;SP;"ribeirão pires"
delayed;SP;"sao paulo"
delayed;BA;salvador
delayed;CE;fortaleza
delayed;SP;osasco
delayed;GO;"águas lindas de goiás"
delayed;SP;"sao paulo"
delayed;SP;"sao jose dos campos"
delayed;MG;"nova serrana"
delayed;MG;"nova lima"
delayed;SP;"sao paulo"
delayed;DF;brasilia
delayed;MG;"juiz de fora"
delayed;RJ;"rio de janeiro"
delayed;SP;"sao paulo"
delayed;SP;"santa fe do sul"
delayed;PA;belem
delayed;SP;matao
delayed;RJ;"rio de janeiro"
"delivered on time";MS;corumbá
delayed;BA;"bom jesus da lapa"
delayed;SP;ourinhos
delayed;RJ;"porto real"
"delivered on time";SP;"ferraz de vasconcelos"
delayed;RJ;"rio de janeiro"
delayed;MT;sinop
delayed;MG;"belo horizonte"
delayed;SP;"sao paulo"
delayed;PA;"ipixuna do para"
delayed;SP;"praia grande"
delayed;MG;"sete lagoas"
delayed;RS;bagé
delayed;SP;"sao bernardo do campo"
delayed;SP;"são josé do rio pardo"
"delivered on time";SC;itajai
delayed;SP;carapicuiba
delayed;PA;belem
delayed;GO;goiania
delayed;SP;"sao paulo"
delayed;RJ;niteroi
delayed;SP;"sao paulo"
delayed;SP;"sao paulo"
delayed;RJ;nilopolis
delayed;SP;"sao paulo"
delayed;RJ;"nova iguacu"
"delivered on time";RS;espumoso
delayed;MT;cuiaba
delayed;RS;"porto alegre"
delayed;SP;"sao paulo"
delayed;PR;curitiba
delayed;DF;brasilia
delayed;SP;itapura
delayed;SP;"sao paulo"
delayed;SP;"sao paulo"
delayed;MG;"santa luzia"
delayed;SP;guaruja
delayed;SP;"sao paulo"
delayed;SP;serrana
delayed;SP;"sao paulo"
delayed;SP;"sao paulo"
delayed;SP;iguape
delayed;SP;maua
delayed;SP;"sao jose do rio preto"
delayed;SP;indaiatuba
delayed;RJ;"rio de janeiro"
delayed;GO;anapolis
delayed;SP;"sao paulo"
delayed;SP;"sao paulo"
delayed;RJ;"rio de janeiro"
delayed;GO;itaberai
delayed;RS;gramado
delayed;MG;"belo horizonte"
delayed;PR;curitiba
delayed;SP;cotia
delayed;RS;"santa cruz do sul"
delayed;RJ;"rio de janeiro"
"delivered on time";RS;"porto aelgre"
delayed;RS;gravatai
delayed;SP;"sao paulo"
delayed;SP;campinas
delayed;SP;"sao paulo"
delayed;DF;brasilia
delayed;RJ;macae
"delivered on time";MG;brumadinho
delayed;SP;bariri
delayed;SP;sorocaba
delayed;SP;"sao paulo"
delayed;SP;"sao paulo"
delayed;ES;"vila velha"
delayed;MA;"são luís"
delayed;SP;bauru
delayed;RJ;"rio de janeiro"
delayed;PR;"foz do iguaçu"
delayed;MG;"lagoa santa"
delayed;SP;campinas
delayed;SP;"sao paulo"
delayed;SC;camboriu
delayed;SP;osasco
delayed;SP;"sao paulo"
"delivered on time";SP;"praia grande"
delayed;SC;papanduva
delayed;RJ;"rio de janeiro"
delayed;MA;"sao luis"
"delivered on time";SP;"sao paulo"
"delivered on time";SP;"santo andre"
delayed;SP;indaiatuba
delayed;SP;osasco
"delivered on time";SP;"sao paulo"
delayed;MG;"juiz de fora"
delayed;GO;"sao joao d alianca"
delayed;GO;goiânia
delayed;RJ;"são gonçalo"
delayed;PB;"joao pessoa"
delayed;MG;cataguases
delayed;SC;"porto uniao"
delayed;AM;manaus
delayed;MG;"major porto"
delayed;MS;"campo grande"
delayed;SP;"sao paulo"
delayed;SP;maua
delayed;RJ;"barra mansa"
delayed;DF;brasília
delayed;SP;"sao jose dos campos"
"delivered on time";SP;"sao paulo"
delayed;SP;"francisco morato"
"delivered on time";SP;diadema
delayed;SP;valinhos
delayed;BA;salvador
delayed;MS;"campo grande"
delayed;MT;cuiaba
delayed;RJ;"rio de janeiro"
delayed;RS;"porto alegre"
delayed;MG;"juiz de fora"
delayed;SP;"capao bonito"
delayed;BA;alcobaca
delayed;MG;carandai
delayed;SP;campinas
delayed;SP;guaruja
delayed;SP;"sao paulo"
delayed;MG;"nova lima"
delayed;RJ;araruama
delayed;PR;maringa
delayed;MG;betim
delayed;CE;caucaia
delayed;SP;"santana de parnaiba"
delayed;PE;garanhuns
delayed;SP;itupeva
delayed;SP;guaratingueta
delayed;RJ;"rio de janeiro"
delayed;SP;"sao paulo"
delayed;SP;"bom jesus dos perdoes"
delayed;BA;valenca
delayed;BA;"porto seguro"
delayed;SP;"santo andre"
delayed;DF;brasilia
delayed;RJ;"campos dos goytacazes"
delayed;RJ;"rio de janeiro"
delayed;DF;brasilia
delayed;SP;itapui
delayed;SP;"sao paulo"
delayed;SP;jundiai
delayed;RJ;macae
delayed;SP;votuporanga
delayed;MG;cambui
"delivered on time";RJ;"rio de janeiro"
delayed;RS;"porto alegre"
delayed;RJ;"rio das ostras"
delayed;SP;"são paulo"
delayed;MG;"soledade de minas"
delayed;SP;campinas
delayed;DF;brasilia
delayed;SP;ourinhos
delayed;SP;campinas
delayed;MG;tocantins
delayed;RJ;"rio de janeiro"
delayed;SP;barueri
delayed;SP;"sao paulo"
"delivered on time";RJ;"casimiro de abreu"
"delivered on time";SP;sorocaba
delayed;SP;"sao paulo"
delayed;BA;"feira de santana"
delayed;SC;imbituba
delayed;SP;louveira
delayed;AP;macapa
delayed;SP;"santo andre"
delayed;GO;goiania
delayed;SP;"sao bernardo do campo"
delayed;DF;brasília
delayed;SP;"sao paulo"
delayed;RJ;"rio de janeiro"
delayed;RS;uruguaiana
delayed;SP;cafelandia
"delivered on time";SP;cosmopolis
delayed;RJ;"barra mansa"
delayed;SP;"sao paulo"
delayed;SP;maua
delayed;GO;"rio verde"
delayed;SP;"sao paulo"
delayed;PE;camaragibe
delayed;RJ;"rio de janeiro"
delayed;PR;curitiba
delayed;SP;campinas
delayed;SP;"sao paulo"
delayed;SP;aracatuba
delayed;SC;palhoca
"delivered on time";BA;salvador
delayed;SP;pederneiras
delayed;SP;osasco
"delivered on time";RJ;"nova friburgo"
delayed;SC;"balneario camboriu"
delayed;SP;"sao paulo"
delayed;MG;"belo horizonte"
delayed;SP;assis
delayed;PR;"balsa nova"
"delivered on time";MG;"belo horizonte"
delayed;SP;"sao paulo"
delayed;SP;"sao paulo"
delayed;SP;barueri
"delivered on time";RJ;"volta redonda"
"delivered on time";GO;anapolis
delayed;AL;arapiraca
delayed;PI;teresina
delayed;MG;"dom joaquim"
delayed;PE;caruaru
delayed;SP;"sao paulo"
delayed;SP;suzano
"delivered on time";SP;barueri
delayed;RS;"santa maria"
delayed;MG;"ribeirao das neves"
delayed;RS;cachoeirinha
delayed;SP;"são paulo"
delayed;PR;cascavel
delayed;MG;contagem
delayed;MG;"pouso alegre"
delayed;RJ;"rio de janeiro"
delayed;RS;"porto alegre"
delayed;SP;osasco
delayed;BA;salvador
delayed;SP;franca
delayed;SP;lins
delayed;GO;joviania
delayed;MG;"dores do indaia"
delayed;SP;"sao paulo"
delayed;RJ;"rio de janeiro"
delayed;SP;andradina
delayed;SP;"francisco morato"
delayed;AM;manaus
delayed;DF;brasilia
delayed;SP;"sao paulo"
delayed;ES;"cachoeiro de itapemirim"
delayed;MG;"pará de minas"
delayed;SP;"rio claro"
delayed;RS;"porto alegre"
delayed;SP;"sao paulo"
delayed;RJ;"rio de janeiro"
delayed;SP;atibaia
"delivered on time";DF;brasilia
delayed;PB;mari
delayed;RJ;teresopolis
delayed;RS;"santo antonio do planalto"
delayed;MG;passos
delayed;PR;"campo mourao"
delayed;SP;jaboticabal
delayed;PI;piripiri
delayed;RS;"passo fundo"
delayed;PR;mallet
delayed;SP;"sao paulo"
delayed;SP;osasco
delayed;SP;pindamonhangaba
delayed;ES;"são gabriel da palha"
delayed;RJ;"rio de janeiro"
delayed;SP;ubatuba
delayed;SC;"sao bento do sul"
delayed;MG;"belo horizonte"
delayed;SC;"faxinal dos guedes"
delayed;MG;"governador valadares"
delayed;RJ;"rio de janeiro"
delayed;RJ;"santo antonio de padua"
delayed;SC;florianopolis
delayed;SP;"são paulo"
delayed;RJ;"rio de janeiro"
delayed;SP;"sao paulo"
"delivered on time";SP;"sao paulo"
delayed;RJ;"rio de janeiro"
delayed;SP;santos
delayed;SP;"bonfim paulista"
delayed;MG;montalvania
delayed;MS;"campo grande"
delayed;SP;"sao paulo"
delayed;TO;gurupi
delayed;SP;guarulhos
delayed;RJ;"rio de janeiro"
delayed;SP;"sao paulo"
delayed;RO;ariquemes
delayed;SP;guapiacu
delayed;PR;curitiba
delayed;CE;fortaleza
delayed;RJ;"nova iguacu"
delayed;SP;diadema
delayed;MG;"belo horizonte"
delayed;SP;barueri
delayed;MG;"entre rios de minas"
delayed;DF;brasilia
"delivered on time";SP;"santana de parnaiba"
delayed;SP;"sao jose do rio preto"
delayed;RJ;"rio de janeiro"
delayed;SP;guaratingueta
delayed;PR;"nova laranjeiras"
"delivered on time";SP;"ferraz de vasconcelos"
delayed;MG;"belo horizonte"
delayed;SP;suzano
delayed;RJ;petrópolis
delayed;TO;araguaina
delayed;SP;"sao paulo"
delayed;SP;"embu guaçu"
delayed;SP;viradouro
delayed;SP;"são paulo"
delayed;RS;alvorada
"delivered on time";SP;"sao paulo"
"delivered on time";MG;"patos de minas"
delayed;SP;indaiatuba
delayed;MG;contagem
delayed;SP;carapicuiba
delayed;MG;"belo horizonte"
delayed;SP;"sao paulo"
delayed;MG;"montes claros"
delayed;DF;brasilia
delayed;SP;"sao paulo"
delayed;MA;"sao luis"
delayed;SP;"sao paulo"
delayed;SC;camboriu
delayed;RJ;niteroi
delayed;SP;"sao jose dos campos"
delayed;MG;"belo horizonte"
"delivered on time";RJ;niteroi
delayed;RJ;"rio de janeiro"
delayed;PR;pinhais
delayed;SP;lins
delayed;MG;"teófilo otoni"
delayed;BA;salvador
delayed;PR;curitiba
delayed;SP;cotia
delayed;SP;"sao bernardo do campo"
delayed;MG;"belo horizonte"
delayed;SP;"sao jose do rio preto"
delayed;SP;"sao jose do rio preto"
delayed;SP;castilho
delayed;MG;contagem
"delivered on time";RJ;"rio de janeiro"
delayed;SP;"santo andre"
delayed;SP;"são paulo"
delayed;SP;campinas
delayed;ES;"cachoeiro de itapemirim"
delayed;RS;"sao vendelino"
delayed;RS;"sao gabriel"
delayed;SP;hortolandia
delayed;ES;vitória
delayed;SP;"são paulo"
delayed;RJ;"rio de janeiro"
delayed;SP;botucatu
delayed;MG;piumhi
delayed;SP;"mogi das cruzes"
delayed;SP;"cândido mota"
delayed;SP;"sao paulo"
delayed;SP;campinas
delayed;RJ;"rio de janeiro"
delayed;RJ;"rio de janeiro"
delayed;RJ;"sao goncalo"
delayed;MA;"sao luis"
delayed;SP;"sao paulo"
delayed;SP;"santa barbara d oeste"
delayed;MG;"belo horizonte"
delayed;RS;"porto alegre"
delayed;RS;"morro reuter"
delayed;SP;"sao paulo"
delayed;SP;"sao caetano do sul"
"delivered on time";SP;"são paulo"
delayed;SP;piracicaba
delayed;RJ;mendes
delayed;SC;joinville
delayed;MG;contagem
delayed;SP;"sao paulo"
"delivered on time";RS;"porto alegre"
delayed;SC;"são francisco do sul"
delayed;SP;arandu
delayed;SP;"sao paulo"
delayed;MG;"ouro fino"
delayed;RJ;macae
delayed;RS;"passo fundo"
delayed;SP;guarulhos
delayed;RJ;mesquita
delayed;ES;"vila velha"
delayed;RJ;"rio de janeiro"
delayed;MG;"belo horizonte"
delayed;SP;"sao paulo"
delayed;RJ;niteroi
delayed;SP;"embu guaçu"
delayed;RJ;"rio de janeiro"
delayed;SP;"sao paulo"
delayed;SP;"sao paulo"
delayed;MG;uberaba
"delivered on time";RS;"porto alegre"
delayed;RJ;"rio de janeiro"
delayed;MG;"lagoa santa"
delayed;SP;"sao paulo"
delayed;SP;barueri
delayed;SP;"sao paulo"
delayed;SP;campinas
delayed;SP;"sao paulo"
delayed;SP;"são paulo"
delayed;SP;"sao paulo"
delayed;AL;piacabucu
delayed;SP;guarulhos
delayed;SP;"santana de parnaiba"
delayed;RS;"liberato salzano"
delayed;SP;"sao paulo"
delayed;DF;brasilia
delayed;SP;"sao paulo"
delayed;SP;"são paulo"
delayed;CE;hidrolândia
delayed;RS;"sapucaia do sul"
delayed;SP;santos
delayed;SP;birigui
delayed;PB;"joao pessoa"
delayed;BA;coribe
delayed;DF;brasilia
delayed;SP;hortolandia
delayed;MG;"coronel fabriciano"
delayed;SP;"são paulo"
delayed;SP;jundiai
delayed;MG;areado
delayed;SP;"sao paulo"
delayed;SP;"sao paulo"
delayed;RJ;"rio de janeiro"
delayed;RJ;"rio de janeiro"
delayed;SP;suzano
delayed;MG;"juiz de fora"
delayed;SP;guaruja
delayed;RJ;"rio de janeiro"
delayed;PR;roncador
delayed;RS;"porto alegre"
delayed;SP;"sao bento do sapucai"
delayed;RS;"frederico westphalen"
"delivered on time";MA;"sao luis"
delayed;MG;passos
delayed;SP;"sao paulo"
delayed;SP;"mogi mirim"
delayed;RJ;"rio de janeiro"
delayed;DF;brasília
delayed;SC;"ipora do oeste"
delayed;SP;cotia
delayed;RJ;"rio de janeiro"
delayed;RS;feliz
delayed;SP;"são paulo"
delayed;SC;"sao jose"
delayed;RJ;"rio de janeiro"
delayed;RJ;vassouras
delayed;SC;itapema
delayed;SC;curitibanos
delayed;SP;"sao paulo"
delayed;SP;cruzeiro
delayed;RS;"frederico westphalen"
delayed;SP;campinas
delayed;SP;"sao paulo"
delayed;SP;"sao paulo"
delayed;MG;"aguas formosas"
delayed;GO;goiania
"delivered on time";SP;"general salgado"
delayed;PB;cuite
delayed;RS;"porto alegre"
delayed;RJ;macaé
delayed;RJ;"sao goncalo"
delayed;SP;"são paulo"
delayed;SP;"sao vicente"
delayed;RJ;"rio de janeiro"
delayed;BA;"coronel joao sa"
delayed;SP;"sao paulo"
